Threshold,Precision,Recall,F1
0.36000000000000004,0.6666666666666666,0.5400593471810089,0.5967213114754099
0.37000000000000005,0.6741573033707865,0.5341246290801187,0.5960264900662252
0.38000000000000006,0.6766917293233082,0.5341246290801187,0.5970149253731343
0.39000000000000007,0.6896551724137931,0.5341246290801187,0.6020066889632107
0.4000000000000001,0.7058823529411765,0.5341246290801187,0.6081081081081081
0.4100000000000001,0.7047244094488189,0.5311572700296736,0.6057529610829103
0.4200000000000001,0.708,0.5252225519287834,0.6030664395229983
0.43000000000000005,0.7108433734939759,0.5252225519287834,0.6040955631399317
0.44000000000000006,0.7125506072874493,0.5222551928783383,0.6027397260273972
0.45000000000000007,0.7261410788381742,0.5192878338278932,0.6055363321799307
0.4600000000000001,0.7280334728033473,0.516320474777448,0.6041666666666666
0.4700000000000001,0.729957805907173,0.5133531157270029,0.6027874564459931
0.4800000000000001,0.7350427350427351,0.5103857566765578,0.6024518388791593
0.4900000000000001,0.7345132743362832,0.49258160237388726,0.5896980461811723
0.5000000000000001,0.7342342342342343,0.4836795252225519,0.5831842576028623
0.5100000000000001,0.7441860465116279,0.47477744807121663,0.5797101449275363
0.5200000000000001,0.7511737089201878,0.47477744807121663,0.5818181818181818
0.5300000000000001,0.7559808612440191,0.4688427299703264,0.5787545787545788
0.5400000000000001,0.7584541062801933,0.4658753709198813,0.5772058823529411
0.55,0.7609756097560976,0.4629080118694362,0.5756457564575646
0.56,0.77,0.456973293768546,0.5735567970204841
0.5700000000000001,0.7715736040609137,0.45103857566765576,0.5692883895131086
0.5800000000000001,0.7864583333333334,0.44807121661721067,0.5708884688090737
0.5900000000000001,0.7864583333333334,0.44807121661721067,0.5708884688090737
0.6000000000000001,0.7853403141361257,0.44510385756676557,0.5681818181818182
0.6100000000000001,0.7853403141361257,0.44510385756676557,0.5681818181818182
0.6200000000000001,0.786096256684492,0.4362017804154303,0.5610687022900763
0.6300000000000001,0.7857142857142857,0.42433234421364985,0.5510597302504817
0.6400000000000001,0.7921348314606742,0.41839762611275966,0.5475728155339806
0.6500000000000001,0.8023255813953488,0.4094955489614243,0.5422396856581533
0.6600000000000001,0.8023952095808383,0.39762611275964393,0.5317460317460317
0.6700000000000002,0.8159509202453987,0.39465875370919884,0.532
0.6800000000000002,0.8238993710691824,0.3887240356083086,0.5282258064516129
0.6900000000000002,0.8258064516129032,0.3798219584569733,0.5203252032520326
0.7000000000000002,0.8410596026490066,0.3768545994065282,0.5204918032786885
0.7100000000000002,0.8466666666666667,0.3768545994065282,0.5215605749486653
0.7200000000000001,0.8472222222222222,0.3620178041543027,0.5072765072765073
0.7300000000000001,0.8439716312056738,0.35311572700296734,0.497907949790795
0.7400000000000001,0.8561151079136691,0.35311572700296734,0.5
0.7500000000000001,0.8646616541353384,0.34124629080118696,0.48936170212765956
0.7600000000000001,0.8625954198473282,0.3353115727002967,0.4829059829059829
0.7700000000000001,0.8740157480314961,0.3293768545994065,0.47844827586206895
0.7800000000000001,0.8699186991869918,0.31750741839762614,0.4652173913043478
0.7900000000000001,0.8760330578512396,0.314540059347181,0.462882096069869
0.8000000000000002,0.8833333333333333,0.314540059347181,0.4638949671772429
0.8100000000000002,0.8879310344827587,0.3056379821958457,0.45474613686534215
0.8200000000000002,0.8839285714285714,0.29376854599406527,0.44097995545657015
0.8300000000000002,0.8796296296296297,0.2818991097922849,0.42696629213483145
0.8400000000000002,0.8932038834951457,0.27299703264094954,0.41818181818181815
0.8500000000000002,0.8924731182795699,0.24629080118694363,0.386046511627907
0.8600000000000002,0.8837209302325582,0.22551928783382788,0.35933806146572106
0.8700000000000001,0.8795180722891566,0.2166172106824926,0.3476190476190476
0.8800000000000001,0.8780487804878049,0.21364985163204747,0.3436754176610978
0.8900000000000001,0.8666666666666667,0.19287833827893175,0.3155339805825243
0.9000000000000001,0.875,0.18694362017804153,0.3080684596577017
0.9100000000000001,0.873015873015873,0.1632047477744807,0.275
0.9200000000000002,0.8709677419354839,0.16023738872403562,0.2706766917293233
0.9300000000000002,0.8703703703703703,0.1394658753709199,0.24040920716112532
0.9400000000000002,0.8666666666666667,0.11572700296735905,0.20418848167539266
0.9500000000000002,0.8461538461538461,0.09792284866468842,0.17553191489361702
0.9600000000000002,0.8709677419354839,0.08011869436201781,0.14673913043478262
